run_idx,start_idx,end_idx,skip_range,search_skip_layers,total_skip_layers,l2_mean,l2_max,l2_std,value_diff_mean,value_diff_max,bin_idx_dist_mean,bin_idx_dist_max,bin_idx_dist_std,anomalies,has_nan,has_inf,has_extremes,always_exclude_layers,always_include_layers
125,18,30,18-30,13,13,0.012544922956408062,0.028810746350824867,0.008821035045205023,0.003938949368014011,0.01568627450980392,1.1071428571428572,9.0,1.5080565950512435,False,False,False,False,,
126,19,30,19-30,12,12,0.012544922956408062,0.028810746350824867,0.008821035045205023,0.003938949368014011,0.01568627450980392,1.1071428571428572,9.0,1.5080565950512435,False,False,False,False,,
127,20,30,20-30,11,11,0.012544922956408062,0.028810746350824867,0.008821035045205023,0.003938949368014011,0.01568627450980392,1.1071428571428572,9.0,1.5080565950512435,False,False,False,False,,
128,21,30,21-30,10,10,0.012544922956408062,0.028810746350824867,0.008821035045205023,0.003938949368014011,0.01568627450980392,1.1071428571428572,9.0,1.5080565950512435,False,False,False,False,,
129,22,30,22-30,9,9,0.012544922956408062,0.028810746350824867,0.008821035045205023,0.003938949368014011,0.01568627450980392,1.1071428571428572,9.0,1.5080565950512435,False,False,False,False,,
130,6,24,6-24,19,19,0.012603201465742469,0.028810746350824867,0.008832882011701224,0.0039851678565590905,0.01568627450980392,1.1428571428571428,9.0,1.52863818278805,False,False,False,False,,
131,10,14,10-14,5,5,0.012612342524383853,0.04259524761330291,0.014291188340541265,0.003160905020251878,0.023529411764705854,0.8571428571428571,10.0,1.8168710488538435,False,False,False,False,,
132,3,9,3-9,7,7,0.012623222486852692,0.028810746350824867,0.00883756912085066,0.003992670856268857,0.01568627450980392,1.1428571428571428,9.0,1.5286381827880497,False,False,False,False,,
133,0,27,0-27,28,28,0.012624219270259241,0.028810746350824867,0.008874829608562593,0.004022232682828635,0.01568627450980392,1.1785714285714286,9.0,1.5481226286923746,False,False,False,False,,
134,2,10,2-10,9,9,0.012649767636907174,0.02895570424165959,0.007830368277589926,0.00364110523006748,0.01568627450980392,1.0357142857142858,9.0,1.5464739353293548,False,False,False,False,,
135,2,21,2-21,20,20,0.012674793271218392,0.03401940521913712,0.010161428200399666,0.00378411243232516,0.023529411764705854,1.0535714285714286,10.0,1.6628250794650528,False,False,False,False,,
136,7,23,7-23,17,17,0.012679102216601106,0.028810746350824867,0.00885231503433743,0.0040388893448139365,0.01568627450980392,1.1785714285714286,9.0,1.5481226286923746,False,False,False,False,,
137,8,28,8-28,21,21,0.012691091887097378,0.028810746350824867,0.008801784995088114,0.004031386345104169,0.01568627450980392,1.1785714285714286,9.0,1.5481226286923746,False,False,False,False,,
138,2,15,2-15,14,14,0.012716280622514274,0.028810746350824867,0.008596548349329625,0.00398516785655909,0.01568627450980392,1.1428571428571428,9.0,1.493181782883348,False,False,False,False,,
139,9,14,9-14,6,6,0.01276489370230954,0.04284793245034043,0.012965739119861024,0.003030769214302053,0.023529411764705854,0.8392857142857143,10.0,1.8591163964395032,False,False,False,False,,
140,24,28,24-28,5,5,0.012967842987035154,0.038076157475866124,0.01455941824090485,0.00357335375900401,0.023529411764705854,1.0,7.0,1.6583123951777,False,False,False,False,,
141,25,30,25-30,6,6,0.012970748081039447,0.03385272246255266,0.01004958122736504,0.003984259367089935,0.023529411764705854,1.1428571428571428,9.0,1.5286381827880497,False,False,False,False,,
142,16,22,16-22,7,7,0.013014831319029495,0.0359962111563999,0.00984293555046862,0.003175302034962211,0.026399579943649387,0.9821428571428571,9.0,1.6200867638645098,False,False,False,False,,
143,9,28,9-28,20,20,0.013062490573482109,0.028810746350824867,0.008829213770821959,0.004123823322194326,0.01568627450980392,1.25,9.0,1.7550946250436592,False,False,False,False,,
144,13,20,13-20,8,8,0.01314575330828666,0.02612001378877787,0.008645138981677465,0.003845203118751834,0.019799684957737096,1.0535714285714286,9.0,1.419502463857657,False,False,False,False,,
145,10,17,10-17,8,8,0.013175169970374035,0.03385272246255266,0.010054556758360087,0.004102114634695514,0.023529411764705854,1.1607142857142858,9.0,1.5210051389305237,False,False,False,False,,
146,11,14,11-14,4,4,0.013185391969686145,0.03468467877898745,0.011570688113955958,0.003280377812731071,0.021995798396904354,0.9464285714285714,10.0,1.78705306957275,False,False,False,False,,
147,3,11,3-11,9,9,0.013189946753038743,0.029006416852634616,0.007913608220660567,0.003965810112141434,0.01568627450980392,1.125,9.0,1.52435583584861,False,False,False,False,,
148,25,25,25-25,1,1,0.013190257316301149,0.03284890993386604,0.011897805354351872,0.002857851286329314,0.023529411764705854,0.9107142857142857,7.0,1.5151235889510526,False,False,False,False,,
149,5,18,5-18,14,14,0.013194994987822187,0.030342961877207007,0.009330211643484623,0.003744880490210168,0.021995798396904354,1.1071428571428572,9.0,1.6440213266405577,False,False,False,False,,
150,10,10,10-10,1,1,0.013196756128118426,0.026818124372973626,0.008340285740115265,0.0027066064315191163,0.019799684957737096,0.7678571428571429,10.0,1.647412163587089,False,False,False,False,,
151,11,13,11-13,3,3,0.01326435367934152,0.0631899294918646,0.01965425120292271,0.002517123116729771,0.06274509803921569,0.5892857142857143,10.0,1.5672631481376076,False,False,False,False,,
152,14,22,14-22,9,9,0.013298599443585439,0.028810746350824867,0.00792951638302176,0.00404661743761078,0.01568627450980392,1.125,9.0,1.5007438631749066,False,False,False,False,,
153,2,11,2-11,10,10,0.013334880756236402,0.034170118731970574,0.010158338714373643,0.004256601433477226,0.023529411764705854,1.3035714285714286,9.0,1.6574468625089664,False,False,False,False,,
154,9,25,9-25,17,17,0.013369909829647112,0.028810746350824867,0.007866135590376553,0.004056804635619591,0.01568627450980392,1.125,9.0,1.5007438631749066,False,False,False,False,,
155,2,18,2-18,17,17,0.013385237377243743,0.028810746350824867,0.0096111903234992,0.00415428550720755,0.01808823569225715,1.1428571428571428,9.0,1.52863818278805,False,False,False,False,,
156,8,8,8-8,1,1,0.01351480898009924,0.042405927400866086,0.014841763775279872,0.0032110588257265697,0.023529411764705854,0.8392857142857143,10.0,1.72974797621633,False,False,False,False,,
157,8,19,8-19,12,12,0.013625181544768734,0.024166089822200122,0.006391002493302087,0.003921408602534663,0.014663865597936199,1.1607142857142858,9.0,1.497340329125109,False,False,False,False,,
158,11,17,11-17,7,7,0.01373552269989406,0.042727839081514805,0.012042704943469427,0.003915039803735305,0.023529411764705854,1.0714285714285714,9.0,1.6241167144145818,False,False,False,False,,
159,16,18,16-18,3,3,0.013884930958914481,0.06038363161452558,0.01831619045316404,0.0032067314638747645,0.0549019607843137,0.6964285714285714,10.0,1.7104682197025014,False,False,False,False,,
160,4,12,4-12,9,9,0.014088294425337902,0.028988552705933434,0.009975226752902005,0.004233842326111827,0.0235294117647058,1.1964285714285714,9.0,1.7052402727343448,False,False,False,False,,
161,10,11,10-11,2,2,0.014148522316387795,0.036771322632612444,0.01398860778810256,0.0036829807292037887,0.023529411764705854,1.0357142857142858,8.0,1.7004651224453449,False,False,False,False,,
162,14,16,14-16,3,3,0.014192107912215625,0.02923282455393206,0.009792401789567182,0.003272892321412725,0.021995798396904354,0.9285714285714286,7.0,1.386891988496257,False,False,False,False,,
163,6,22,6-22,17,17,0.014194896702886149,0.028810746350824867,0.007447816173743589,0.004174659903225167,0.01568627450980392,1.1428571428571428,9.0,1.505093393264677,False,False,False,False,,
164,8,23,8-23,16,16,0.014371486507873225,0.028810746350824867,0.01015663003778943,0.004394781704736717,0.023529411764705854,1.25,11.0,1.7550946250436592,False,False,False,False,,
165,9,12,9-12,4,4,0.014407297911815026,0.04284793245034043,0.012383979028322311,0.0036278586779557483,0.023529411764705854,1.2678571428571428,10.0,1.950192952253804,False,False,False,False,,
166,24,30,24-30,7,7,0.014427491017631862,0.028810746350824867,0.007442160588714854,0.004284087425648924,0.01568627450980392,1.2142857142857142,9.0,1.4965947742683543,False,False,False,False,,
167,23,30,23-30,8,8,0.01445508886297904,0.028810746350824867,0.007444865850996747,0.004330305914194003,0.01568627450980392,1.25,9.0,1.4910446960820074,False,False,False,False,,
